Titulo,ISBN,Genero,Año,Autor
El Libro de los Abrazos (Error Año),978-84-323-1498-8,Relato Corto,Mil novecientos ochenta y nueve,Eduardo Galeano
Los Amantes de Teruel (Error Año),978-84-9105-095-7,Drama,1837,Juan Eugenio Hartzenbusch
La Sombra de un Gigante (Error Año),978-84-01-00001-5,Novela Historica,1991,Ken Follett
Novela con ISBN Invalido 14,978-84-376-0494-1,Ciencia Ficción,1999,Autor Falso 14
El Cuento de Navidad (Error ISBN),978-84-9105-096-9,Cuento Clásico,1843,Charles Dickens
La Casa de Bernarda Alba (Error ISBN),978-84-376-0277-7,Teatro,1936,Federico Garcia Lorca
El Señor de los Anillos: El Retorno del Rey (Error ISBN),978-84-450-7389-9,Fantasia,1955,J.R.R. Tolkien
La Rebelión de Atlas (Error ISBN),978-84-9989-105-9,Novela Filosófica,1957,Ayn Rand
Cuentos de la Alhambra (Error ISBN),978-84-9105-080-9,Leyendas,1832 (Pub),Washington Irving
El Color del Miedo (Error ISBN),978-84-9759-401-9,Thriller Psicologico,2001,Stephen King
El Último Hombre (Error ISBN),978-84-9105-094-9,Ciencia Ficción,1826,Mary Shelley
El Despertar (Error ISBN),978-84-204-7477-7,Clásico,1899,Kate Chopin
Novela con ISBN Invalido 15,978-84-376-0482-5,Epopeya,2005,Autor Falso 15
Las Aventuras de Huckleberry Finn (Error ISBN),978-84-670-3691-1,Aventura Juvenil,1884,Mark Twain
El Mar, el Mar (Error ISBN),978-84-339-2044-5,Novela,1978,Iris Murdoch
Cien Años de Soledad (Edición Rústica) (Error ISBN),978-84-663-3987-0,Realismo Magico,1967 (Rústica),Gabriel Garcia Marquez
La Odisea (Error ISBN),978-84-249-1423-9,Epopeya,A.C.,Homero
El Conde de Montecristo (Vol. II) (Error ISBN),978-84-204-7495-9,Aventura Histórica,1844,Alexandre Dumas
Don Quijote (Edición Bolsillo) (Error ISBN),978-84-233-5190-9,Clasico,1605/1615,Miguel de Cervantes
Memorias de una Geisha (Error ISBN),978-84-9759-302-9,Ficción Histórica,1997,Arthur Golden
El Gato Negro y Otros Cuentos (Error ISBN),978-84-9105-022-9,Terror Gotico,Mil novecientos,Edgar Allan Poe
La Ladrona de Libros (Error ISBN 13),978-84-9908-142-9,Novela Histórica,2005,Markus Zusak
El Padrino (Error ISBN),978-84-9759-335-9,Novela Negra,Se-senta y nueve,Mario Puzo
La Milla Verde (Error ISBN),978-84-01-46052-9,Terror/Drama,1996,Stephen King
El Dios de las Pequeñas Cosas (Error ISBN),978-84-9989-110-9,Ficción,1997,Arundhati Roy
El Lector (Error ISBN 13),978-84-663-3052-5,Ficción Histórica,1995,Bernhard Schlink
Los Juegos del Hambre: En Llamas (Error ISBN),978-84-92918-04-9,Distopia Juvenil,2009,Suzanne Collins
La Guerra y la Paz (Vol. II) (Error ISBN),978-84-9105-183-9,Novela Historica,1869,Leon Tolstoi
El Hombre Invisible (Error ISBN),978-84-450-7166-9,Ciencia Ficción,1897,H.G. Wells
La Ciudad y los Perros (Error ISBN),978-84-663-3054-9,Novela Social,1963,Mario Vargas Llosa
La Celestina (Error ISBN),978-84-376-0662-9,Tragedia,1499,Fernando de Rojas
El Cuento de la Criada (Error ISBN),978-84-9989-111-9,Distopia,1985,Margaret Atwood
Novela con ISBN Invalido 16,978-84-206-5536-0,Tragedia,1990,Autor Falso 16
El Manuscrito de Arena (Error ISBN),978-84-204-7624-9,Relato Corto,Cero,Jorge Luis Borges
Los Cuentos de Beedle el Bardo (Error ISBN),978-84-9838-192-9,Fantasía Juvenil,2008,J.K. Rowling
Carrie (Error ISBN),978-84-01-46053-9,Terror,1974,Stephen King
El Principito (Otra Edición) (Error ISBN),978-84-261-0810-9,Fábula,1943,Antoine de Saint-Exupery
El Último Deseo (Error ISBN),978-84-9062-730-9,Fantasía,1993,Andrzej Sapkowski
Las Crónicas de Narnia (Error ISBN),978-84-08-06689-9,Fantasía Infantil,1950,C.S. Lewis
El Jinete sin Cabeza (Error ISBN),978-84-9105-073-9,Leyendas,1820,Washington Irving
El Bosque de los Suicidas (Error ISBN),978-84-9759-413-9,Thriller,2003,Stephen King
El Extranjero (Edición Coleccionista) (Error ISBN),978-84-339-2045-9,Filosofía,1942,Albert Camus
La Muerte de Artemio Cruz (Error ISBN),978-968-16-1072-9,Novela Política,1962,Carlos Fuentes
El Laberinto de la Perdición (Error ISBN),978-84-08-08577-9,Misterio/Thriller,2018,Carlos Ruiz Zafon
El Amor, las Mujeres y la Muerte (Error ISBN),978-84-9105-024-9,Ensayo Filosófico,1908,Arthur Schopenhauer
La Naranja Mecánica (Error ISBN),978-84-339-2046-9,Distopia,1962,Anthony Burgess
La Tierra de las Sombras (Error ISBN),978-84-01-46274-9,Novela Histórica,1999,Ken Follett
La Tumba del Viento (Error ISBN),978-84-663-3563-9,Romance,Cien,Nicholas Sparks
El Señor de los Anillos: Las Dos Torres (Error ISBN),978-84-450-7274-0,Fantasia,1954,J.R.R. Tolkien
Novela con ISBN Invalido 17,978-84-08-08878-9,Thriller,1998,Autor Falso 17
La Llama (Error ISBN),978-84-9759-414-9,Thriller,1987,Stephen King
El Mundo Perdido (Error ISBN),978-84-670-3625-9,Ciencia Ficción,1912,Arthur Conan Doyle
Trópico de Cáncer (Error ISBN),978-84-339-2047-9,Ficción,1934,Henry Miller
El Hombre de Arena (Error ISBN),978-84-9105-082-9,Terror Gótico,1817,E.T.A. Hoffmann
Novela con ISBN Invalido 18,978-84-204-7463-9,Clásico Moderno,2005,Autor Falso 18
La Sombra del Viento (Año Raro),978-84-08-05701-1,Misterio/Thriller,MMI,Carlos Ruiz Zafon
Crimen y Castigo (Año Raro),978-84-376-0495-4,Novela Psicologica,1866_1,Fiodor Dostoievski
Siddhartha (Año Raro),978-84-264-1517-4,Filosofía,XXII,Hermann Hesse
La Casa de los Espíritus (Año Raro),978-84-9989-090-3,Realismo Magico,Ochenta y dos,Isabel Allende
El Código Da Vinci (Año Raro),978-84-08-04987-0,Thriller,03,Dan Brown
La Metamorfosis (Año Raro),978-84-376-0935-5,Existencialismo,1915-Pub,Franz Kafka
El Cementerio de Praga (Año Raro),978-84-9759-412-4,Misterio Histórico,2010.,Umberto Eco
El Psicoanalista (Año Raro),978-84-01-35251-9,Thriller Psicologico,2002/3,John Katzenbach
Poeta en Nueva York (Año Raro),978-84-376-0275-2,Poesia,treinta,Federico Garcia Lorca
La Tregua (Año Raro),978-84-663-3532-7,Novela,1960,Mario Benedetti
Los Juegos del Hambre (Año Raro),978-84-92918-02-1,Distopia Juvenil,08 (Debut),Suzanne Collins
La Guerra y la Paz (Vol. I) (Año Raro),978-84-9105-182-4,Novela Historica,S.XIX,Leon Tolstoi
El Guardián entre el Centeno (Año Raro),978-84-450-7164-8,Novela de Formacion,1951,J.D. Salinger
Veinte poemas de amor (Año Raro),978-84-663-3162-6,Poesia,24 (Chile),Pablo Neruda
Marina (Año Raro),978-84-08-09519-8,Juvenil,MCMXCIX,Carlos Ruiz Zafon
Sapiens: De animales a dioses (Año Raro),978-84-9992-622-4,Historia,2014,Yuval Noah Harari
Cumbres Borrascosas (Otra Edición) (Año Raro),978-84-206-5470-8,Gotico/Romance,1847,Emily Bronte
La Historia Interminable (Año Raro),978-84-204-7389-5,Fantasia,1979-80,Michael Ende
El Tunel (Año Raro),978-84-322-2821-7,Existencialismo,1948,Ernesto Sabato
Como Agua para Chocolate (Año Raro),978-84-7888-061-6,Realismo Magico,mil novecientos ochenta y nueve,Laura Esquivel
Lo que el viento se llevó (Año Raro),978-84-9105-081-0,Romance Historico,1936,Margaret Mitchell
El Corazón de las Tinieblas (Año Raro),978-84-376-0278-3,Novela Psicologica,1899,Joseph Conrad
Madame Bovary (Año Raro),978-84-206-5389-3,Realismo,1856/7,Gustave Flaubert
La Dama de las Camelias (Año Raro),978-84-204-7476-2,Romance Clasico,48,Alexandre Dumas (hijo)
Narraciones Extraordinarias (Año Raro),978-84-9105-021-6,Terror Gotico,Mil ochocientos cuarenta,Edgar Allan Poe
Cantar de Mio Cid (Año Raro),978-84-376-0482-4,Epopeya,Siglo 12,Anonimo
El Juego de Ender (Año Raro),978-84-9800-098-9,Ciencia Ficcion,1985,Orson Scott Card
Novela con ISBN Invalido 19,978-84-376-0000-0,Ciencia Ficción,1995,Autor Falso 19
Los Detectives Salvajes (Año Raro),978-84-339-6663-3,Novela,1998,Roberto Bolaño
Tokio Blues (Norwegian Wood) (Año Raro),978-84-8383-112-4,Novela Contemporanea,87-Japon,Haruki Murakami
Balada de Pájaros Cantores y Serpientes (Año Raro),978-84-272-1926-7,Distopia Juvenil,2020,Suzanne Collins
La Conjura de los Necios (Año Raro),978-84-8383-114-8,Novela Satirica,1980,John Kennedy Toole
El Viejo y el Mar (Año Raro),978-84-9759-408-7,Novela Corta,1952,Ernest Hemingway
Viajes de Gulliver (Año Raro),978-84-9105-055-1,Sátira,1726_PUB,Jonathan Swift
Diario de un Skin (Año Raro),978-84-9759-322-6,Novela Social,MIL NOVECIENTOS NOVENTA Y DOS,Antonio Salas
Niebla (Año Raro),978-84-9105-037-7,Novela Filosofica,Mil Novecientos Catorce,Miguel de Unamuno
Crónicas Marcianas (Año Raro),978-84-450-7359-8,Ciencia Ficcion,1950,Ray Bradbury
El Héroe de las Mil Caras (Año Raro),978-84-493-2457-1,Mitologia,1949/1950,Joseph Campbell
Las Flores del Mal (Año Raro),978-84-376-0276-9,Poesia,1857,Charles Baudelaire
El Nombre de la Rosa (Año Raro),978-84-9759-300-4,Misterio Historico,80,Umberto Eco
El Silmarillion (Año Raro),978-84-450-7171-6,Fantasia,1977,J.R.R. Tolkien
La Peste (Año Raro),978-84-9759-323-3,Existencialismo,1947,Albert Camus
Los Buddenbrook (Año Raro),978-84-9105-039-1,Novela Familiar,1901 (Publicado),Thomas Mann
El Cuaderno de Noah (Año Raro),978-84-663-3560-0,Romance,96,Nicholas Sparks
Siddhartha (Otra Edición) (Año Raro),978-84-9105-025-4,Filosofia,22,Hermann Hesse
La Hojarasca (Año Raro),978-84-9759-416-2,Realismo Magico,55,Gabriel Garcia Marquez
Ensayo sobre el Discipulado (Año Raro),978-84-204-7472-4,Novela Filosofica,95,Jose Saramago
Frankenstein (Año Raro),978-84-9105-078-0,Terror Gotico,1818,Mary Shelley
La Isla del Tesoro (Año Raro),978-84-9105-074-2,Aventura,1883,Robert Louis Stevenson
Novela con ISBN Invalido 20,978-84-376-0000-7,Ciencia Ficción,2010,Autor Falso 20
El Extranjero (Otra Edición) (Año Raro),978-84-450-7170-9,Filosofia,Cuarenta y dos,Albert Camus
La Niebla (Año Raro),978-84-9759-400-1,Terror,1980,Stephen King
Hacia Rutas Salvajes (Año Raro),978-84-9759-301-1,Biografico,1996,Jon Krakauer
El Libro de los Abrazos (Año Raro),978-84-323-1498-8,Relato Corto,1989,Eduardo Galeano
Los Amantes de Teruel (Año Raro),978-84-9105-095-7,Drama,1837,Juan Eugenio Hartzenbusch
La Sombra de un Gigante (Año Raro),978-84-01-00001-5,Novela Historica,1991,Ken Follett
Novela con ISBN Invalido 21,978-84-376-0494-8,Ciencia Ficción,1998,Autor Falso 21
El Cuento de Navidad (Error Año),978-84-9105-096-4,Cuento Clásico,1843 (Original),Charles Dickens
La Casa de Bernarda Alba (Error Año),978-84-376-0277-6,Teatro,36,Federico Garcia Lorca
El Señor de los Anillos: El Retorno del Rey (Error Año),978-84-450-7389-7,Fantasia,55,J.R.R. Tolkien
La Rebelión de Atlas (Error Año),978-84-9989-105-4,Novela Filosófica,1957,Ayn Rand
Cuentos de la Alhambra (Error Año),978-84-9105-080-3,Leyendas,1832,Washington Irving
El Color del Miedo (Error Año),978-84-9759-401-8,Thriller Psicologico,2001,Stephen King
El Último Hombre (Error Año),978-84-9105-094-0,Ciencia Ficción,1826,Mary Shelley
El Despertar (Error Año),978-84-204-7477-9,Clásico,1899,Kate Chopin
Novela con ISBN Invalido 22,978-84-376-0482-6,Epopeya,1970,Autor Falso 22
Las Aventuras de Huckleberry Finn (Error Año),978-84-670-3691-9,Aventura Juvenil,1884,Mark Twain
El Mar, el Mar (Error Año),978-84-339-2044-4,Novela,1978,Iris Murdoch
Cien Años de Soledad (Edición Rústica) (Error Año),978-84-663-3987-9,Realismo Magico,67,Gabriel Garcia Marquez
La Odisea (Error Año, ISBN Inválido),978-84-249-1423-9,Epopeya,Desconocido,Homero
El Conde de Montecristo (Vol. II) (Error Año),978-84-204-7495-3,Aventura Histórica,1844,Alexandre Dumas
Don Quijote (Edición Bolsillo) (Error Año),978-84-233-5190-0,Clasico,1605-1615,Miguel de Cervantes
Memorias de una Geisha (Error Año),978-84-9759-302-8,Ficción Histórica,Mil Novecientos Noventa y Siete,Arthur Golden
El Gato Negro y Otros Cuentos (Error Año),978-84-9105-022-3,Terror Gotico,1840,Edgar Allan Poe
La Ladrona de Libros (Error Año, ISBN Inválido),978-84-9908-142-9,Novela Histórica,2005,Markus Zusak
El Padrino (Error Año, ISBN Inválido),978-84-9759-335-9,Novela Negra,1969,Mario Puzo
La Milla Verde (Error Año, ISBN Inválido),978-84-01-46052-9,Terror/Drama,1996,Stephen King
El Dios de las Pequeñas Cosas (Error Año, ISBN Inválido),978-84-9989-110-9,Ficción,1997,Arundhati Roy
El Lector (Error Año, ISBN Inválido),978-84-663-3052-5,Ficción Histórica,1995,Bernhard Schlink
Los Juegos del Hambre: En Llamas (Error Año),978-84-92918-04-5,Distopia Juvenil,2009,Suzanne Collins
La Guerra y la Paz (Vol. II) (Error Año),978-84-9105-183-1,Novela Historica,1869,Leon Tolstoi
El Hombre Invisible (Error Año),978-84-450-7166-2,Ciencia Ficción,1897,H.G. Wells
La Ciudad y los Perros (Error Año),978-84-663-3054-4,Novela Social,1963,Mario Vargas Llosa
La Celestina (Error Año),978-84-376-0662-0,Tragedia,MCDXCIX,Fernando de Rojas
El Cuento de la Criada (Error Año),978-84-9989-111-5,Distopia,1985,Margaret Atwood
Novela con ISBN Invalido 23,978-84-206-5536-2,Tragedia,1980,Autor Falso 23
El Manuscrito de Arena (Error Año),978-84-204-7624-7,Relato Corto,NULL,Jorge Luis Borges
Los Cuentos de Beedle el Bardo (Error Año),978-84-9838-192-3,Fantasía Juvenil,2008,J.K. Rowling
Carrie (Error Año),978-84-01-46053-1,Terror,1974,Stephen King
El Principito (Otra Edición) (Error Año),978-84-261-0810-7,Fábula,Cuarenta y tres,Antoine de Saint-Exupery
El Último Deseo (Error Año),978-84-9062-730-2,Fantasía,93,Andrzej Sapkowski
Las Crónicas de Narnia (Error Año),978-84-08-06689-1,Fantasía Infantil,1950,C.S. Lewis
El Jinete sin Cabeza (Error Año),978-84-9105-073-5,Leyendas,1820,Washington Irving
El Bosque de los Suicidas (Error Año),978-84-9759-413-1,Thriller,2003,Stephen King
El Extranjero (Edición Coleccionista) (Error Año),978-84-339-2045-1,Filosofía,1942,Albert Camus
La Muerte de Artemio Cruz (Error Año),978-968-16-1072-4,Novela Política,1962,Carlos Fuentes
El Laberinto de la Perdición (Error Año),978-84-08-08577-8,Misterio/Thriller,2018 (Esp),Carlos Ruiz Zafon
El Amor, las Mujeres y la Muerte (Error Año),978-84-9105-024-7,Ensayo Filosófico,1908,Arthur Schopenhauer
La Naranja Mecánica (Error Año),978-84-339-2046-8,Distopia,1962,Anthony Burgess
La Tierra de las Sombras (Error Año),978-84-01-46274-0,Novela Histórica,1999,Ken Follett
La Tumba del Viento (Error Año),978-84-663-3563-1,Romance,cien,Nicholas Sparks
El Señor de los Anillos: Las Dos Torres (Error Año),978-84-450-7274-9,Fantasia,1954,J.R.R. Tolkien
Novela con ISBN Invalido 24,978-84-08-08878-0,Thriller,1995,Autor Falso 24
La Llama (Error Año),978-84-9759-414-8,Thriller,1987,Stephen King
El Mundo Perdido (Error Año),978-84-670-3625-4,Ciencia Ficción,1912,Arthur Conan Doyle
Trópico de Cáncer (Error Año),978-84-339-2047-5,Ficción,1934,Henry Miller
El Hombre de Arena (Error Año),978-84-9105-082-7,Terror Gótico,1817,E.T.A. Hoffmann
Novela con ISBN Invalido 25,978-84-204-7463-6,Clásico Moderno,2005,Autor Falso 25
La Sombra del Viento (Año Raro 2),978-84-08-05701-1,Misterio/Thriller,2001,Carlos Ruiz Zafon
Crimen y Castigo (Año Raro 2),978-84-376-0495-4,Novela Psicologica,1866,Fiodor Dostoievski
Siddhartha (Año Raro 2),978-84-264-1517-4,Filosofía,22,Hermann Hesse
La Casa de los Espíritus (Año Raro 2),978-84-9989-090-3,Realismo Magico,Och-do,Isabel Allende
El Código Da Vinci (Año Raro 2),978-84-08-04987-0,Thriller,0003,Dan Brown
La Metamorfosis (Año Raro 2),978-84-376-0935-5,Existencialismo,1915,Franz Kafka
El Cementerio de Praga (Año Raro 2),978-84-9759-412-4,Misterio Histórico,2010.0,Umberto Eco
El Psicoanalista (Año Raro 2),978-84-01-35251-9,Thriller Psicologico,Dos mil dos,John Katzenbach
Poeta en Nueva York (Año Raro 2),978-84-376-0275-2,Poesia,1930,Federico Garcia Lorca
La Tregua (Año Raro 2),978-84-663-3532-7,Novela,1960,Mario Benedetti
Los Juegos del Hambre (Año Raro 2),978-84-92918-02-1,Distopia Juvenil,08,Suzanne Collins
La Guerra y la Paz (Vol. I) (Año Raro 2),978-84-9105-182-4,Novela Historica,Siglo 19,Leon Tolstoi
El Guardián entre el Centeno (Año Raro 2),978-84-450-7164-8,Novela de Formacion,1951,J.D. Salinger
Veinte poemas de amor (Año Raro 2),978-84-663-3162-6,Poesia,1924,Pablo Neruda
Marina (Año Raro 2),978-84-08-09519-8,Juvenil,1999 (Ed),Carlos Ruiz Zafon
Sapiens: De animales a dioses (Año Raro 2),978-84-9992-622-4,Historia,2014,Yuval Noah Harari
Cumbres Borrascosas (Otra Edición) (Año Raro 2),978-84-206-5470-8,Gotico/Romance,1847 (Publ),Emily Bronte
La Historia Interminable (Año Raro 2),978-84-204-7389-5,Fantasia,1979,Michael Ende
El Tunel (Año Raro 2),978-84-322-2821-7,Existencialismo,1948,Ernesto Sabato
Como Agua para Chocolate (Año Raro 2),978-84-7888-061-6,Realismo Magico,mil ochocientos ochenta y nueve,Laura Esquivel
Lo que el viento se llevó (Año Raro 2),978-84-9105-081-0,Romance Historico,1936,Margaret Mitchell
El Corazón de las Tinieblas (Año Raro 2),978-84-376-0278-3,Novela Psicologica,1899,Joseph Conrad
Madame Bovary (Año Raro 2),978-84-206-5389-3,Realismo,56,Gustave Flaubert
La Dama de las Camelias (Año Raro 2),978-84-204-7476-2,Romance Clasico,1848,Alexandre Dumas (hijo)
Narraciones Extraordinarias (Año Raro 2),978-84-9105-021-6,Terror Gotico,1840,Edgar Allan Poe
Cantar de Mio Cid (Año Raro 2),978-84-376-0482-4,Epopeya,S.XII,Anonimo
El Juego de Ender (Año Raro 2),978-84-9800-098-9,Ciencia Ficcion,1985 (Original),Orson Scott Card
Novela con ISBN Invalido 26,978-84-376-0000-8,Ciencia Ficción,1995,Autor Falso 26
Los Detectives Salvajes (Año Raro 2),978-84-339-6663-3,Novela,1998,Roberto Bolaño
Tokio Blues (Norwegian Wood) (Año Raro 2),978-84-8383-112-4,Novela Contemporanea,1987,Haruki Murakami
Balada de Pájaros Cantores y Serpientes (Año Raro 2),978-84-272-1926-7,Distopia Juvenil,2020,Suzanne Collins
La Conjura de los Necios (Año Raro 2),978-84-8383-114-8,Novela Satirica,1980,John Kennedy Toole
